,Food & Beverages,Ground Service,Cabin Staff Service,Seat Comfort,Value For Money,Overall_Rating
0,4.0,4.0,5.0,4.0,3.0,9
1,1.0,1.0,2.0,2.0,2.0,1
2,1.0,1.0,1.0,2.0,2.0,1
3,1.0,1.0,1.0,1.0,1.0,1
4,1.0,1.0,1.0,1.0,1.0,1
5,1.0,1.0,2.0,1.0,1.0,1
6,3.0,5.0,4.0,4.0,5.0,8
7,1.0,4.0,1.0,4.0,1.0,1
8,2.0,2.0,2.0,1.0,1.0,2
9,5.0,5.0,5.0,5.0,5.0,1
10,1.0,1.0,1.0,2.0,1.0,1
11,1.0,1.0,4.0,2.0,3.0,3
12,3.0,5.0,5.0,5.0,3.0,9
13,1.0,1.0,1.0,2.0,1.0,1
14,3.0,1.0,1.0,3.0,1.0,1
15,3.0,2.0,3.0,2.0,2.0,4
16,4.0,3.0,4.0,3.0,4.0,8
17,3.0,1.0,4.0,2.0,2.0,4
18,2.0,4.0,3.0,4.0,5.0,6
19,1.0,1.0,2.0,1.0,3.0,2
20,5.0,4.0,5.0,5.0,5.0,9
21,5.0,5.0,5.0,5.0,5.0,9
22,1.0,1.0,1.0,1.0,1.0,1
23,3.0,5.0,5.0,4.0,5.0,8
24,5.0,5.0,5.0,5.0,5.0,1
25,5.0,4.0,5.0,4.0,4.0,9
26,1.0,1.0,1.0,1.0,1.0,1
27,2.0,1.0,3.0,3.0,2.0,1
28,3.0,1.0,5.0,4.0,3.0,3
29,5.0,4.0,5.0,4.0,5.0,9
30,3.0,5.0,4.0,2.0,5.0,8
31,2.0,5.0,5.0,1.0,3.0,5
32,1.0,1.0,1.0,1.0,1.0,1
33,3.0,3.0,3.0,2.0,2.0,3
34,3.0,3.0,3.0,3.0,3.0,5
35,1.0,1.0,1.0,2.0,1.0,1
36,4.0,1.0,5.0,4.0,1.0,1
37,3.0,5.0,5.0,5.0,5.0,1
38,2.0,3.0,1.0,2.0,3.0,1
39,3.0,2.0,4.0,2.0,3.0,2
40,4.0,5.0,5.0,4.0,5.0,1
41,3.0,3.0,3.0,3.0,3.0,6
42,2.0,1.0,5.0,2.0,1.0,1
43,4.0,4.0,5.0,5.0,3.0,5
44,5.0,5.0,5.0,5.0,5.0,1
45,1.0,4.0,3.0,3.0,2.0,4
46,2.0,2.0,1.0,3.0,3.0,2
47,4.0,4.0,4.0,2.0,3.0,6
48,3.0,1.0,3.0,2.0,1.0,2
49,5.0,5.0,5.0,5.0,5.0,1
50,3.0,1.0,4.0,3.0,1.0,5
51,1.0,1.0,2.0,2.0,1.0,1
52,1.0,1.0,3.0,3.0,1.0,2
53,1.0,3.0,3.0,3.0,2.0,2
54,3.0,1.0,5.0,4.0,1.0,7
55,5.0,5.0,5.0,5.0,5.0,1
56,1.0,1.0,1.0,1.0,1.0,1
57,3.0,5.0,5.0,1.0,1.0,3
58,2.0,3.0,3.0,1.0,1.0,1
59,1.0,1.0,1.0,1.0,1.0,1
60,5.0,5.0,5.0,5.0,5.0,1
61,1.0,3.0,2.0,4.0,1.0,4
62,2.0,1.0,4.0,2.0,1.0,1
63,5.0,5.0,5.0,5.0,5.0,1
64,2.0,4.0,5.0,4.0,2.0,5
65,1.0,1.0,3.0,2.0,2.0,2
66,4.0,4.0,4.0,3.0,5.0,7
67,3.0,4.0,3.0,3.0,5.0,7
68,2.0,4.0,4.0,3.0,3.0,5
69,4.0,3.0,5.0,4.0,3.0,3
70,1.0,1.0,1.0,1.0,1.0,3
71,1.0,3.0,4.0,1.0,2.0,1
72,5.0,5.0,5.0,3.0,5.0,1
73,1.0,3.0,2.0,2.0,3.0,1
74,1.0,1.0,1.0,1.0,1.0,1
75,5.0,1.0,5.0,3.0,1.0,1
76,3.0,5.0,4.0,5.0,4.0,7
77,4.0,3.0,4.0,3.0,2.0,2
78,1.0,1.0,1.0,1.0,1.0,1
79,1.0,1.0,1.0,2.0,1.0,1
80,1.0,4.0,5.0,4.0,4.0,3
81,3.0,1.0,3.0,4.0,2.0,2
82,1.0,1.0,1.0,3.0,4.0,1
83,1.0,3.0,1.0,3.0,2.0,3
84,2.0,2.0,2.0,3.0,2.0,3
85,1.0,1.0,1.0,2.0,1.0,1
86,1.0,1.0,1.0,1.0,1.0,1
87,2.0,5.0,5.0,2.0,5.0,1
88,1.0,1.0,5.0,1.0,1.0,1
89,1.0,1.0,1.0,1.0,1.0,1
90,1.0,1.0,1.0,1.0,1.0,2
91,1.0,3.0,2.0,4.0,3.0,6
92,1.0,1.0,1.0,2.0,1.0,1
93,2.0,1.0,1.0,2.0,1.0,1
94,2.0,1.0,2.0,2.0,2.0,2
95,1.0,1.0,3.0,1.0,1.0,2
96,1.0,1.0,1.0,1.0,2.0,1
97,2.0,2.0,4.0,4.0,3.0,1
98,1.0,1.0,1.0,1.0,1.0,2
99,3.0,1.0,3.0,1.0,1.0,1
100,3.0,1.0,3.0,1.0,1.0,1
101,1.0,1.0,1.0,1.0,1.0,1
102,1.0,2.0,2.0,2.0,2.0,4
103,1.0,1.0,1.0,1.0,2.0,1
104,2.0,1.0,2.0,2.0,2.0,2
105,1.0,1.0,2.0,2.0,1.0,1
106,5.0,5.0,4.0,5.0,5.0,9
107,2.0,1.0,3.0,1.0,1.0,1
108,3.0,4.0,5.0,3.0,2.0,2
109,3.0,1.0,3.0,3.0,2.0,2
110,3.0,2.0,3.0,3.0,2.0,6
111,3.0,1.0,3.0,2.0,2.0,1
112,1.0,4.0,4.0,2.0,1.0,1
113,1.0,1.0,1.0,1.0,1.0,1
114,1.0,1.0,1.0,1.0,1.0,1
115,2.0,5.0,4.0,4.0,3.0,8
116,4.0,2.0,2.0,5.0,2.0,5
117,4.0,5.0,5.0,4.0,4.0,1
118,3.0,2.0,3.0,2.0,2.0,2
119,3.0,3.0,3.0,3.0,3.0,5
120,4.0,3.0,4.0,1.0,4.0,7
121,4.0,1.0,1.0,3.0,2.0,2
122,4.0,1.0,4.0,3.0,2.0,4
123,4.0,4.0,5.0,5.0,5.0,1
124,5.0,5.0,5.0,2.0,5.0,9
125,3.0,1.0,1.0,3.0,3.0,1
126,4.0,5.0,5.0,5.0,5.0,8
127,1.0,1.0,4.0,3.0,1.0,2
128,2.0,1.0,4.0,2.0,2.0,2
129,1.0,2.0,2.0,1.0,1.0,2
130,5.0,5.0,5.0,5.0,5.0,1
131,4.0,4.0,5.0,4.0,5.0,9
132,5.0,4.0,5.0,5.0,4.0,9
